myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,task_resp.rt,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
[],[],10,10,0,0,0,0,1,stimuli/slide1.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,1,1,1,1,stimuli/slide2.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,2,2,2,1,stimuli/slide3.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,3,3,3,1,stimuli/slide4.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,4,4,4,1,stimuli/slide5.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,5,5,5,1,stimuli/slide6.png,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,0,1.793,0,0,0,0,0,1,1,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,right,stimuli/objects/smokedetector02.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[0],,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,1,1.48,0,0,1,1,1,1,2,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/acqua_flower.png,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,down,stimuli/objects/suitofarmor.jpg,0,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,[0],,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,1,1.686,1,0,2,2,2,1,3,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/acqua_flower.png,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,left,stimuli/objects/christmaswreath.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,,0,0,3,3,3,1,4,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,up,stimuli/objects/rhinoceros02.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,0]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,1,1.545,1,0,4,4,4,1,5,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/acqua_flower.png,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,left,stimuli/objects/jackhammer.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,1,0,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,,0,0,5,5,5,1,6,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,up,stimuli/objects/mathcompass.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,,0,0,6,6,6,1,7,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/white_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,up,stimuli/objects/towelrack.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,1,0,1,0,0]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,1,0.613,1,0,7,7,7,1,8,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,down,stimuli/objects/chainlinkfence.jpg,1,0,stimuli/red_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,1,0,1,0,0,1]",,,,,,,,,3,2020-12-17_10h22.52.758,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,1.314,0,0,8,8,8,1,9,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/acqua_flower.png,down,stimuli/objects/curlingiron01a.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
