Instr_resp_2.keys,Instr_resp_2.rt,warmup_resp.keys,warmup_resp.corr,warmup_resp.rt,myownaccuracy,respcorrs,myownaccuracyCORR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,trial_type,participant,date,expName,psychopyVersion,OS,frameRate,Instr_resp.keys,Instr_resp.rt,taskGoresp.keys,taskGoresp.rt,task_resp_3.keys,task_resp_3.corr,task_resp_3.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,list,key_resp.keys,key_resp.rt
space,127.33878,left,0,0.69177,0,[],0,0,0,0,12,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,down,stimuli/objects/toolbox02.jpg,1,99,stimuli/white_butterfly.png,1,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,0.806705,0,[0],0,0,1,1,3,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/cigar.jpg,0,99,stimuli/grey_butterfly.png,0,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,0,1.300895,0,[0],0,0,2,2,7,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/firehydrant.jpg,1,99,stimuli/white_butterfly.png,0,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.707195,0,"[0,0]",0,0,3,3,18,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,up,stimuli/objects/armadillo.jpg,0,99,stimuli/white_butterfly.png,1,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,1.38265,0,"[0,0]",0,0,4,4,14,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/shed02.jpg,1,99,stimuli/grey_butterfly.png,1,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.705845,1,"[0,0,0]",1,0,5,5,20,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/toucan.jpg,1,99,stimuli/grey_butterfly.png,1,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,0.937415,0,"[0,0,0,1]",0,0,6,6,9,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/skunk.jpg,1,99,stimuli/white_butterfly.png,0,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,1.841375,1,"[0,0,0,1,0]",1,0,7,7,19,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/motorcycle.jpg,1,99,stimuli/white_butterfly.png,1,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.668035,0,"[0,0,0,1,0,1]",0,0,8,8,6,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,right,stimuli/objects/flipflop01b.jpg,1,99,stimuli/grey_butterfly.png,0,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,0,,0,"[0,0,0,1,0,1,0]",0,0,9,9,2,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/corn02.jpg,1,99,stimuli/grey_butterfly.png,0,2,2020-12-15_15h17.39.111,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
