Instr_resp_2.keys,Instr_resp_2.rt,warmup_resp.keys,warmup_resp.corr,warmup_resp.rt,myownaccuracy,respcorrs,myownaccuracyCORR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,trial_type,participant,date,expName,psychopyVersion,OS,frameRate,Instr_resp.keys,Instr_resp.rt,taskGoresp.keys,taskGoresp.rt,task_resp_3.keys,task_resp_3.corr,task_resp_3.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,list,key_resp.keys,key_resp.rt
space,12.292645,up,0,1.163635,0,[],0,0,0,0,7,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/firehydrant.jpg,1,99,stimuli/white_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,0.529035,0,[0],0,0,1,1,6,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,right,stimuli/objects/flipflop01b.jpg,1,99,stimuli/grey_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.49267,1,"[0,0]",1,0,2,2,4,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,right,stimuli/objects/tire.jpg,1,99,stimuli/white_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.730945,1,"[0,0,1]",1,0,3,3,19,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/motorcycle.jpg,1,99,stimuli/white_butterfly.png,1,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,1.44011,0,"[0,0,1,1]",0,0,4,4,1,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,up,stimuli/objects/marble.jpg,1,99,stimuli/grey_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.967745,1,"[0,0,1,1,0]",1,0,5,5,12,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,down,stimuli/objects/toolbox02.jpg,1,99,stimuli/white_butterfly.png,1,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.77386,1,"[0,0,1,1,0,1]",1,0,6,6,5,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/birdfeeder.jpg,1,99,stimuli/white_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.54209,1,"[0,0,1,1,0,1,1]",1,0,7,7,16,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/foosballtable.jpg,1,99,stimuli/white_butterfly.png,1,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.91787,1,"[0,0,1,1,0,1,1,1]",1,0,8,8,8,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/shelf.jpg,1,99,stimuli/grey_butterfly.png,0,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.46293,0,"[0,0,1,1,0,1,1,1,1]",1,0,9,9,13,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/payphone.jpg,0,99,stimuli/white_butterfly.png,1,11,2021-01-19_17h37.50.533,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
